query_id	query	category	expected_doc	relevance	answer_mode	span_start	span_end	page	answer_text	expected_answer	citations	version_mode	query_time	as_of	version_context	conflict_context	judgments
q-0014	han hoan tat hs-2027-002 la ngay nao	diacritic_variant	gold-002	3	answer	168	219	1	Hạn hoàn tất là ngày 06 tháng 08 năm 2026.	Hạn hoàn tất là ngày 06 tháng 08 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":219,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Hạn hoàn tất là ngày 06 tháng 08 năm 2026."",""start"":168,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0015	Đơn vị nào phụ trách hồ sơ HS-2027-002?	named_entity	gold-002	3	answer	221	281	1	Đơn vị phụ trách là Ban An toàn thông tin (BATTT).	Đơn vị phụ trách là Ban An toàn thông tin (BATTT).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":281,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Đơn vị phụ trách là Ban An toàn thông tin (BATTT)."",""start"":221,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0016	BATTT phụ trách hồ sơ HS-2027-002 phải không?	abbreviation	gold-002	3	answer	221	281	1	Đơn vị phụ trách là Ban An toàn thông tin (BATTT).	Đơn vị phụ trách là Ban An toàn thông tin (BATTT).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":281,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Đơn vị phụ trách là Ban An toàn thông tin (BATTT)."",""start"":221,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0017	Mã hồ sơ của “Hồ sơ đào tạo nhân sự số 03” là gì?	named_entity	gold-003	3	answer	76	105	1	Mã hồ sơ là HS-2028-003.	Mã hồ sơ là HS-2028-003.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":105,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Mã hồ sơ là HS-2028-003."",""start"":76,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0018	ma ho so cua ho so dao tao nhan su so 03 la gi	diacritic_variant	gold-003	3	answer	76	105	1	Mã hồ sơ là HS-2028-003.	Mã hồ sơ là HS-2028-003.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":105,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Mã hồ sơ là HS-2028-003."",""start"":76,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0019	Ngân sách của hồ sơ HS-2028-003 là bao nhiêu?	numeric_fact	gold-003	3	answer	107	165	1	Ngân sách được phê duyệt là 171 triệu đồng.	Ngân sách được phê duyệt là 171 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":165,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Ngân sách được phê duyệt là 171 triệu đồng."",""start"":107,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0020	ngan sach ho so hs-2028-003 bao nhieu	diacritic_variant	gold-003	3	answer	107	165	1	Ngân sách được phê duyệt là 171 triệu đồng.	Ngân sách được phê duyệt là 171 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":165,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Ngân sách được phê duyệt là 171 triệu đồng."",""start"":107,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0021	Trong kế hoạch triển khai đào tạo nhân sự, để bố trí nguồn lực và báo cáo tiến độ đúng hạn, hồ sơ HS-2028-003 phải hoàn tất chính xác vào ngày nào?	long_context	gold-003	3	answer	167	218	1	Hạn hoàn tất là ngày 07 tháng 09 năm 2026.	Hạn hoàn tất là ngày 07 tháng 09 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":218,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Hạn hoàn tất là ngày 07 tháng 09 năm 2026."",""start"":167,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0022	han hoan tat hs-2028-003 la ngay nao	diacritic_variant	gold-003	3	answer	167	218	1	Hạn hoàn tất là ngày 07 tháng 09 năm 2026.	Hạn hoàn tất là ngày 07 tháng 09 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":218,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Hạn hoàn tất là ngày 07 tháng 09 năm 2026."",""start"":167,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0023	Đơn vị nào phụ trách hồ sơ HS-2028-003?	named_entity	gold-003	3	answer	220	272	1	Đơn vị phụ trách là Phòng Nhân sự (PNS).	Đơn vị phụ trách là Phòng Nhân sự (PNS).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":272,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Đơn vị phụ trách là Phòng Nhân sự (PNS)."",""start"":220,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0024	PNS phụ trách hồ sơ HS-2028-003 phải không?	abbreviation	gold-003	3	answer	220	272	1	Đơn vị phụ trách là Phòng Nhân sự (PNS).	Đơn vị phụ trách là Phòng Nhân sự (PNS).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""866aa54efba46c53bff11e0690125bf16cea088c8ed70cb7c39cf63ffc318789"",""documentId"":""gold-003"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":272,""isCurrent"":true,""logicalDocumentId"":""logical-gold-003"",""page"":1,""quote"":""Đơn vị phụ trách là Phòng Nhân sự (PNS)."",""start"":220,""versionId"":""version-gold-003-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-003-v1""],""currentVersionId"":""version-gold-003-v1"",""logicalDocumentId"":""logical-gold-003""}"	{}	"{""gold-003"":3,""gold-012"":1,""gold-021"":1}"
q-0025	Mã hồ sơ của “Hồ sơ sao lưu dữ liệu số 04” là gì?	named_entity	gold-004	3	answer	74	103	1	Mã hồ sơ là HS-2026-004.	Mã hồ sơ là HS-2026-004.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""6a753ced6c0a33eb97c5edeee6b2e4ba1ff60543dc5e8c0bdff205836d38f0cd"",""documentId"":""gold-004"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":103,""isCurrent"":true,""logicalDocumentId"":""logical-gold-004"",""page"":1,""quote"":""Mã hồ sơ là HS-2026-004."",""start"":74,""versionId"":""version-gold-004-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-004-v1""],""currentVersionId"":""version-gold-004-v1"",""logicalDocumentId"":""logical-gold-004""}"	{}	"{""gold-004"":3,""gold-013"":1,""gold-022"":1}"
q-0026	ma ho so cua ho so sao luu du lieu so 04 la gi	diacritic_variant	gold-004	3	answer	74	103	1	Mã hồ sơ là HS-2026-004.	Mã hồ sơ là HS-2026-004.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""6a753ced6c0a33eb97c5edeee6b2e4ba1ff60543dc5e8c0bdff205836d38f0cd"",""documentId"":""gold-004"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":103,""isCurrent"":true,""logicalDocumentId"":""logical-gold-004"",""page"":1,""quote"":""Mã hồ sơ là HS-2026-004."",""start"":74,""versionId"":""version-gold-004-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-004-v1""],""currentVersionId"":""version-gold-004-v1"",""logicalDocumentId"":""logical-gold-004""}"	{}	"{""gold-004"":3,""gold-013"":1,""gold-022"":1}"
q-0027	Ngân sách của hồ sơ HS-2026-004 là bao nhiêu?	numeric_fact	gold-004	3	answer	105	163	1	Ngân sách được phê duyệt là 188 triệu đồng.	Ngân sách được phê duyệt là 188 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""6a753ced6c0a33eb97c5edeee6b2e4ba1ff60543dc5e8c0bdff205836d38f0cd"",""documentId"":""gold-004"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":163,""isCurrent"":true,""logicalDocumentId"":""logical-gold-004"",""page"":1,""quote"":""Ngân sách được phê duyệt là 188 triệu đồng."",""start"":105,""versionId"":""version-gold-004-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-004-v1""],""currentVersionId"":""version-gold-004-v1"",""logicalDocumentId"":""logical-gold-004""}"	{}	"{""gold-004"":3,""gold-013"":1,""gold-022"":1}"
q-0028	ngan sach ho so hs-2026-004 bao nhieu	diacritic_variant	gold-004	3	answer	105	163	1	Ngân sách được phê duyệt là 188 triệu đồng.	Ngân sách được phê duyệt là 188 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""6a753ced6c0a33eb97c5edeee6b2e4ba1ff60543dc5e8c0bdff205836d38f0cd"",""documentId"":""gold-004"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":163,""isCurrent"":true,""logicalDocumentId"":""logical-gold-004"",""page"":1,""quote"":""Ngân sách được phê duyệt là 188 triệu đồng."",""start"":105,""versionId"":""version-gold-004-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-004-v1""],""currentVersionId"":""version-gold-004-v1"",""logicalDocumentId"":""logical-gold-004""}"	{}	"{""gold-004"":3,""gold-013"":1,""gold-022"":1}"
q-0029	Trong kế hoạch triển khai sao lưu dữ liệu, để bố trí nguồn lực và báo cáo tiến độ đúng hạn, hồ sơ HS-2026-004 phải hoàn tất chính xác vào ngày nào?	long_context	gold-004	3	answer	165	216	1	Hạn hoàn tất là ngày 08 tháng 10 năm 2026.	Hạn hoàn tất là ngày 08 tháng 10 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""6a753ced6c0a33eb97c5edeee6b2e4ba1ff60543dc5e8c0bdff205836d38f0cd"",""documentId"":""gold-004"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":216,""isCurrent"":true,""logicalDocumentId"":""logical-gold-004"",""page"":1,""quote"":""Hạn hoàn tất là ngày 08 tháng 10 năm 2026."",""start"":165,""versionId"":""version-gold-004-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-004-v1""],""currentVersionId"":""version-gold-004-v1"",""logicalDocumentId"":""logical-gold-004""}"	{}	"{""gold-004"":3,""gold-013"":1,""gold-022"":1}"
